estudiante_id,nombre,apellido,fecha_nacimiento,correo_electronico,telefono,direccion,fecha_registro
1,Anthony,Phillips,2006-08-23,thompsonsuzanne@anderson-lee.com,001-214-056-8047x0939,"7533 Martin Port Apt. 100 Port James, IN 36158",2024-06-14 00:00:00
2,Erin,Cook,2003-08-20,ehenderson@yahoo.com,001-634-368-2800x505,"714 Mooney Rest South Chelsea, IN 92880",2024-09-14 00:00:00
3,Lori,Miller,1996-04-24,williamlee@hotmail.com,001-202-942-3115x889,"7286 Jimenez Forks Christopherside, NY 16235",2025-02-01 00:00:00
4,Jessica,Miller,2000-01-08,lisawilliams@yahoo.com,(051)348-0552x38375,"9212 Zimmerman Greens South Juanmouth, VA 02872",2023-03-31 00:00:00
5,Clayton,Medina,1996-07-18,melissajensen@lyons.net,187.539.9021x9571,"PSC 2138, Box 0483 APO AA 76569",2024-01-22 00:00:00
6,Sarah,Roman,2001-12-22,pdaniel@hotmail.com,370-839-6420x45775,"11811 Kenneth Lane East Matthewfurt, MO 96683",2023-06-19 00:00:00
7,Steven,Gomez,1994-07-25,hannah65@hotmail.com,669-252-6676x97509,"260 Cole Views New Karen, OH 67064",2020-05-29 00:00:00
8,Zachary,Coleman,2003-06-03,alejandrarowe@yahoo.com,446.429.3221x80213,"00221 Joseph Roads Suite 076 Joannborough, CT 83187",2023-04-22 00:00:00
9,Samantha,Anderson,2003-07-13,brianagraham@silva-harrison.com,(809)704-6497,"924 Yang Orchard Suite 043 Gregoryhaven, DE 11653",2021-02-07 00:00:00
10,Gary,Davis,1997-08-13,stephanieellis@yahoo.com,(745)786-4603x573,"3122 Thomas Camp Tammytown, OH 77244",2023-04-15 00:00:00
11,Richard,Reese,1997-10-30,danieltaylor@hotmail.com,808-760-0054,"573 Weber Ridges Nguyentown, NV 71619",2024-06-08 00:00:00
12,Amanda,Castillo,2007-02-08,riveracraig@martin.com,(883)230-5975x53909,"44953 Caitlin Cape Suite 330 Montgomeryland, MT 62885",2022-12-19 00:00:00
13,Justin,Lyons,1997-11-01,brandimelton@gmail.com,001-362-720-2928,"9422 Nguyen Ports Suite 114 South Joseph, SD 77789",2022-03-15 00:00:00
14,Nicholas,Butler,1995-07-04,timothybarnes@ford.com,(467)934-1070x85214,"7265 Jason Junction Apt. 809 Jacobside, SC 01575",2024-08-28 00:00:00
15,Charles,White,2005-03-21,michaelsimon@mullins.com,(067)039-1431x812,"8832 Christopher Street New Donaldfort, UT 99399",2024-04-12 00:00:00
16,Kelly,Sims,1996-10-30,wvargas@holder.com,001-445-160-2921,"055 Angela Spurs Pamelaville, NY 47203",2023-02-11 00:00:00
17,Mark,Jordan,1994-09-20,fergusonjonathan@watts.com,(320)267-3456x74980,"9607 Crawford Wall Yvonneville, OK 11979",2021-05-05 00:00:00
18,Jamie,Martin,2000-12-09,howederek@richardson-krueger.biz,9722897971,"263 Cobb Center Suite 045 West Keithshire, NH 70955",2024-05-01 00:00:00
19,Brandon,King,1998-09-28,shaneschwartz@ward.com,491.408.7667x760,"0680 Ryan Overpass Maryville, AL 36889",2020-04-11 00:00:00
20,Jeffrey,Walls,1998-06-05,williamharrell@turner.info,160.913.5244x24438,"08896 Kelly Harbor South Emilyfort, MI 11178",2020-06-21 00:00:00
21,Mark,Humphrey,1997-08-31,sashley@bird-welch.com,213-978-7095x7560,"55867 Kristina Coves Apt. 967 Markhaven, NY 34468",2024-06-14 00:00:00
22,Stacey,Carroll,2000-10-04,smithashley@hotmail.com,(849)816-6684x6277,"085 Aaron Drives Apt. 204 East Douglasstad, ID 24316",2023-11-07 00:00:00
23,Kevin,Abbott,1997-04-25,masseyjames@richardson.org,001-601-980-7040,"8914 Johnson Mission Paulbury, IN 91943",2024-03-08 00:00:00
24,Brent,Small,2002-09-12,jamesbarnes@blankenship.com,+1-686-664-2235x35610,"7784 Kyle Fort East Davidstad, VT 79206",2021-10-16 00:00:00
25,Christine,Roberts,1994-11-26,boydautumn@rowe.info,7928355371,"8739 Salazar Mission Greenton, AK 64556",2025-03-18 00:00:00
26,James,Johnson,2004-11-09,imalone@hotmail.com,(523)289-5190,"01161 Shelley Valleys Apt. 479 Torreshaven, UT 63283",2020-11-04 00:00:00
27,Christine,Strong,1998-09-17,tiffanycarter@schwartz.com,463-820-4120,"48061 Berger Plaza East Gerald, NC 39480",2020-08-17 00:00:00
